Player,Role,Team,Opponent_Team,Opponent_Player,Date,Week,Day,Patch,Stage,No_Game,all_Games,Format,Game_of_day,Side,Time,Ban,Ban_Opponent,Pick,Pick_Opponent,Champion,Champion_Opponent,Outcome,Kills_Team,Turrets_Team,Dragon_Team,Baron_Team,Level,Kills,Deaths,Assists,KDA,CS,CS_in_Teams_Jungle,CS_in_Enemy_Jungle,CSM,Golds,GPM,GOLD%,Vision_Score,Wards_placed,Wards_destroyed,Control_Wards_Purchased,Detector_Wards_Placed,VSPM,WPM,VWPM,WCPM,VS%,Total_damage_to_Champion,Physical_Damage,Magic_Damage,True_Damage,DPM,DMG%,K+A_Per_Minute,KP%,Solo_kills,Double_kills,Triple_kills,Quadra_kills,Penta_kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives_Stolen,Damage_dealt_to_turrets,Damage_dealt_to buildings,Total_heal,Total_Heals_On_Teammates,Damage_self_mitigated,Total_Damage_Shielded_On_Teammates,Time_ccing_others,Total_Time_CC_Dealt,Total_damage_taken,Total_Time_Spent_Dead,Consumables_purchased,Items_Purchased,Shutdown_bounty_collected,Shutdown_bounty_lost
Cabochard,TOP,KC,GX,Odoamne,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Blue,0:31:54,Draven,Senna,Vi,Smolder,Gnar,Gragas,Win,19,9,5,2,18,2,1,7,9,282,18,0,8.8,13517,424,19.9,47,19,6,10,9,1.47,0.6,0.31,0.19,13.2,19020,15368,2389,1263,596,23,0.28,47.4,0,0,0,0,0,20,4,173,0,0,4464,4464,7140,0,22341,0,42,794,23446,38,12,33,0,0
Bo,JUNGLE,KC,GX,Peach,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Blue,0:31:54,Volibear,Ashe,Hwei,Karma,Vi,Xin_Zhao,Win,19,9,5,2,16,4,5,13,3.4,202,185,0,6.3,13048,409,19.2,54,11,17,13,9,1.69,0.34,0.41,0.53,15.1,13905,12618,0,1287,436,16.8,0.53,89.5,0,0,0,0,0,45,7,173,0,0,3840,3840,18289,0,53431,0,33,401,37510,131,14,33,50,150
Saken,MID,KC,GX,Jackies,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Blue,0:31:54,Varus,Kalista,Zeri,Xin_Zhao,Hwei,Karma,Win,19,9,5,2,18,6,0,10,Perfect_KDA,292,5,0,9.2,15722,493,23.2,60,20,6,8,8,1.88,0.63,0.25,0.19,16.8,25535,402,23357,1776,800,30.9,0.5,84.2,0,2,0,0,0,262,5,-168,0,0,8539,8539,1474,0,4990,794,35,1023,8584,0,11,28,0,0
Upset,ADCARRY,KC,GX,Patrik,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Blue,0:31:54,Aatrox,Udyr,Nautilus,Gragas,Zeri,Smolder,Win,19,9,5,2,18,7,0,8,Perfect_KDA,340,37,0,10.7,16569,519,24.4,60,15,19,5,4,1.88,0.47,0.16,0.6,16.8,18853,10234,5725,2894,591,22.8,0.47,78.9,0,1,1,0,0,1039,13,-78,0,0,4995,4995,5681,0,9783,0,7,218,11077,0,8,27,0,0
Targamas,SUPPORT,KC,GX,IgNar,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Blue,0:31:54,Twisted_Fate,Rumble,Gnar,Rell,Nautilus,Rell,Win,19,9,5,2,12,0,3,13,4.3,43,1,0,1.3,8957,281,13.2,136,63,22,18,17,4.26,1.97,0.56,0.69,38.1,5217,1062,3166,989,164,6.3,0.41,68.4,0,0,0,0,0,-285,-4,-152,-1,0,148,148,3128,808,18585,175,33,157,13768,30,21,34,0,0
Odoamne,TOP,GX,KC,Cabochard,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Red,0:31:54,Senna,Draven,Smolder,Vi,Gragas,Gnar,Loss,9,0,0,0,17,0,2,5,2.5,248,4,0,7.8,10260,322,20.1,16,10,3,3,1,0.5,0.31,0.09,0.09,6.2,10204,395,9809,0,320,16.3,0.16,55.6,0,0,0,0,0,-20,-4,-173,0,0,2629,2629,13526,194,20861,0,23,431,26002,45,5,21,0,0
Peach,JUNGLE,GX,KC,Bo,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Red,0:31:54,Ashe,Volibear,Karma,Hwei,Xin_Zhao,Vi,Loss,9,0,0,0,14,3,5,4,1.4,167,149,0,5.2,9835,308,19.3,52,10,14,10,8,1.63,0.31,0.31,0.44,20.2,7868,7489,259,120,247,12.5,0.22,77.8,0,0,0,0,0,-45,-7,-173,0,0,0,0,19198,0,29501,0,10,645,34753,134,11,30,0,0
Jackies,MID,GX,KC,Saken,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Red,0:31:54,Kalista,Varus,Xin_Zhao,Zeri,Karma,Hwei,Loss,9,0,0,0,16,2,3,4,2,281,7,0,8.8,11374,357,22.3,42,15,10,5,4,1.32,0.47,0.16,0.31,16.3,19999,386,19522,91,627,31.9,0.19,66.7,0,0,0,0,0,-262,-5,168,0,0,0,0,949,189,16795,4855,18,418,16724,83,7,23,0,50
Patrik,ADCARRY,GX,KC,Upset,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Red,0:31:54,Udyr,Aatrox,Gragas,Nautilus,Smolder,Zeri,Loss,9,0,0,0,15,3,4,4,1.8,293,19,0,9.2,12260,384,24.1,28,12,6,3,3,0.88,0.38,0.09,0.19,10.9,21778,15144,3637,2997,683,34.7,0.22,77.8,0,0,0,0,0,-1039,-13,78,0,0,805,805,3826,0,9235,0,10,401,15669,99,5,22,150,0
IgNar,SUPPORT,GX,KC,Targamas,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,4,Red,0:31:54,Rumble,Twisted_Fate,Rell,Gnar,Rell,Nautilus,Loss,9,0,0,0,11,1,5,8,1.8,33,0,0,1,7220,226,14.2,119,68,15,20,18,3.73,2.13,0.63,0.47,46.3,2924,342,2141,441,92,4.7,0.28,100,1,0,0,0,0,285,4,152,1,0,0,0,1547,363,20422,429,23,54,15675,80,23,38,0,0
Myrwn,TOP,MDK,SK,Irrelevant,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Blue,0:36:47,Ashe,Volibear,Taliyah,Xin_Zhao,Twisted_Fate,Jayce,Win,26,8,4,1,18,5,2,12,8.5,257,16,0,7,15971,434,21.7,49,16,10,3,3,1.33,0.43,0.08,0.27,13.5,19357,8573,10148,636,526,20.8,0.46,65.4,0,0,0,0,0,-627,-46,-1039,-1,0,7939,7939,7756,0,13738,0,37,272,21935,72,4,31,200,150
Elyoya,JUNGLE,MDK,SK,Isma,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Blue,0:36:47,Jax,Kalista,Vi,Nautilus,Vi,Xin_Zhao,Win,26,8,4,1,17,4,1,15,19,205,182,0,5.6,13212,359,18,63,14,18,13,13,1.71,0.38,0.35,0.49,17.3,13919,12971,146,802,378,15,0.52,73.1,0,2,0,0,0,-92,-7,-213,0,0,1428,1428,18889,0,42641,0,31,442,30318,12,13,33,50,150
Fresskowy,MID,MDK,SK,Nisqy,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Blue,0:36:47,Kalista,Smolder,Varus,Zeri,Taliyah,Ahri,Win,26,8,4,1,18,5,3,10,5,330,21,0,9,15522,422,21.1,59,21,15,11,10,1.6,0.57,0.3,0.41,16.2,21231,1042,20189,0,577,22.9,0.41,57.7,0,1,0,0,0,-48,12,-191,0,0,5826,5826,2592,0,10974,0,42,743,15236,79,15,38,0,50
Supa,ADCARRY,MDK,SK,Exakick,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Blue,0:36:47,Gragas,Alistar,Braum,Ahri,Varus,Zeri,Win,26,8,4,1,18,11,1,9,20,356,17,0,9.7,18791,511,25.6,43,7,13,4,3,1.17,0.19,0.11,0.35,11.8,28697,18610,9600,487,780,30.9,0.54,76.9,0,2,1,0,0,1920,38,1394,1,0,3819,3819,7036,0,17964,0,23,353,16708,57,5,29,450,700
Alvaro,SUPPORT,MDK,SK,Doss,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Blue,0:36:47,Malphite,Renata_Glasc,Twisted_Fate,Jayce,Braum,Nautilus,Win,26,8,4,1,14,1,3,22,7.7,34,0,0,0.9,10048,273,13.7,150,75,19,22,22,4.08,2.04,0.6,0.52,41.2,9689,1816,6903,970,263,10.4,0.63,88.5,0,0,0,0,0,761,-2,-817,-1,0,781,781,4732,1727,28050,3579,53,212,24142,77,26,45,0,0
Irrelevant,TOP,SK,MDK,Myrwn,3/9/2024,1,1,v14.5,Spring_Season_24,1,1,1,5,Red,0:36:47,Volibear,Ashe,Xin_Zhao,Taliyah,Jayce,Twisted_Fate,Loss,10,4,2,1,18,0,3,4,1.3,342,14,0,9.3,15231,414,24.4,45,16,9,5,5,1.22,0.43,0.14,0.24,13,26642,24803,1545,294,724,31.7,0.11,40,0,0,0,0,0,627,46,1039,1,0,8921,8921,2963,0,13599,0,10,190,14093,31,7,27,0,50
